sampleNumber	sampleName	treatment	time	antibody	readout	cv	quality	normReadout
29	A2058	SR	1hr	MET	1.45761116212345	0.252010714372067	Poor	2.43996381918962
30	A2058	St	1hr	MET	1.25544957520055	0.223277998674974	Poor	2.14768854920446
31	A2058	Tm 	1hr	MET	1.4094789432177	0.155492573929768	Good	2.54178095813502
32	A2058	991	1hr	MET	1.3393836041464	0.222666174070594	Poor	2.28194000792071
33	A2058	901	12hr	MET	1.43837841437796	0.179314532911388	Undet.	2.19449740341569
34	A2058	AK	12hr	MET	1.01969018908509	0.119750759736589	Good	1.38374520622037
35	A2058	Nt	12hr	MET	1.2070648437839	0.237825001393004	Poor	1.9177953410276
36	A2058	PLX	12hr	MET	1.37979439201547	0.2484266592269	Poor	1.90062046653099
37	A2058	SR	12hr	MET	1.10615118566414	0.124102273664888	Poor	1.60610736187729
38	A2058	St	12hr	MET	1.28044657685849	0.144470628381801	Poor	1.78937568153249
39	A2058	Tm 	12hr	MET	1.28329297079069	0.249034935719221	Poor	1.9023705298322
40	A2058	991	12hr	MET	1.20194989176339	0.263260431046674	Poor	1.74021621906945
41	A2058	901	24hr	MET	0.924419046155595	0.126760481208344	Poor	1.82667762261905
42	A2058	AK	24hr	MET	0.823112164899609	0.11341425098194	Undet.	1.57111803173434
43	A2058	Nt	24hr	MET	0.659628564941391	0.085685569605518	Poor	1.42946390278346
44	A2058	PLX	24hr	MET	1.37950605204398	0.220587885836113	Undet.	2.82545344255232
45	A2058	SR	24hr	MET	1.37368913187617	0.1669977275476	Good	2.99796714083588
46	A2058	St	24hr	MET	1.09189929617736	0.0576323706209793	Undet.	2.41194880921483
47	A2058	Tm 	24hr	MET	0.506069154536481	0.1023505495944	Undet.	1.23435276237613
48	A2058	991	24hr	MET	0.619520711788773	0.176596471690992	Undet.	1.69823736904609
49	A2058	901	48hr	MET	2.21486505423471	0.232971781073645	Undet.	4.5898609524627
50	A2058	AK	48hr	MET	1.5071949745179	0.129706167367201	Good	3.54825868946572
51	A2058	Nt	48hr	MET	1.99912079053859	0.212643095460737	Undet.	5.80550473391266
52	A2058	PLX	48hr	MET	1.59975487548563	0.120875041471986	Undet.	3.78817700414497
53	A2058	SR	48hr	MET	2.02436434810517	0.117384074026994	Poor	5.46493465836057
54	A2058	St	48hr	MET	1.58024388529371	0.1313009585194	Poor	5.14588617207619
55	A2058	Tm 	48hr	MET	1.02191214537653	0.177375495612365	Undet.	2.46248233742865
56	A2058	991	48hr	MET	2.04155499801518	0.0957724808219332	Undet.	5.83685503192743
57	A2058	DMSO	5min	MET	2.15917240565328	0.0530219681757399	Undet.	4.84502723792426
58	A2058	DMSO	15min	MET	1.31749252036002	0.150991504981597	Undet.	3.04534226658099
59	A2058	DMSO	30min	MET	1.17984481685895	0.255556999641513	Poor	2.96390300366179
60	A2058	DMSO	1hr	MET	1.46007399777171	0.261981525429452	Poor	3.58150576385881
61	A2058	DMSO	12hr	MET	0.860456768986462	0.166339050093937	Good	1.78736989743806
62	A2058	DMSO	24hr	MET	0.64507897093201	0.134625312825962	Good	2.5640630965487
63	A2058	DMSO	48hr	MET	2.03586330779201	0.0856116273778433	Undet.	7.24603109145902
64	A2058	DMSO-2	mix	MET	1.80442452530713	0.219501045547485	Undet.	2.51364443224491
65	Mel133	DMSO-2	mix	MET	1.27834260545474	0.219888309818819	Undet.	1.78078868228408
1	A2058	901	5min	MET-pY1234/5	1.28855402676785	0.0472242862902036	Good	2.7402006785124
2	A2058	AK	5min	MET-pY1234/5	1.22252626440283	0.0451499959991787	Good	2.36992258812501
3	A2058	Nt	5min	MET-pY1234/5	1.03022565257135	0.065659634018469	Good	2.07615900045716
4	A2058	PLX	5min	MET-pY1234/5	0.774755665674294	0.426813398841328	Poor	1.48365271017621
5	A2058	SR	5min	MET-pY1234/5	1.0617937410358	0.13600039149887	Good	2.07304821176357
6	A2058	St	5min	MET-pY1234/5	0.954827414163364	0.0436924902124622	Good	1.79517256684988
7	A2058	Tm 	5min	MET-pY1234/5	1.24730374787631	0.0412339501452193	Good	2.22628041908884
8	A2058	991	5min	MET-pY1234/5	1.28708131272233	0.143851320999901	Good	2.37747261365439
9	A2058	901	15min	MET-pY1234/5	1.01754617703975	0.0676327449114579	Undet.	2.05051052006013
10	A2058	AK	15min	MET-pY1234/5	1.16040132276738	0.0264432482722523	Good	1.94426857453619
11	A2058	Nt	15min	MET-pY1234/5	0.911190822274438	0.155380100327691	Undet.	1.85409391568503
12	A2058	PLX	15min	MET-pY1234/5	0.844022344140474	0.100629948042635	Good	1.89592445578536
13	A2058	SR	15min	MET-pY1234/5	1.20004480680244	0.0662326456179641	Good	2.34507170453368
14	A2058	St	15min	MET-pY1234/5	1.26650250696184	0.0276971551166071	Good	2.59988928175753
15	A2058	Tm 	15min	MET-pY1234/5	1.06781972716009	0.0724215465613321	Undet.	1.99306510877206
