AntibodyLabel,Source,NodeName,Gene_Symbol,Sites,Effect
BIM_RS00273727,MDACC,BIM,BCL2L11,NA,c
BIM_RS00276021,MDACC,BIM,BCL2L11,NA,c
BIM_V,MDACC,Bim,BCL2L11,NA,c
Bim.R.V_GBL.9013821,MDACC,Bim,BCL2L11,NA,c
Bim.R.V_GBL1033684,MDACC,Bim,BCL2L11,NA,c
Bim.R.V_GBL1113162,MDACC,Bim,BCL2L11,NA,c
Bim.R.V_GBL1114863,MDACC,Bim,BCL2L11,NA,c
Bim.R.V_GBL9026351,MDACC,Bim,BCL2L11,NA,c
BIM(V))_GBL9008601,MDACC,BIM,BCL2L11,NA,c
BIP,MDACC,BIP,HSPA5,NA,c
BIP_GRP78,MDACC,BIP,HSPA5,NA,c
BiP.GRP78,MDACC,BIP,HSPA5,NA,c
BOP1,MDACC,BOP1,BOP1,NA,c
BOP1(N16)_GBL9008583,MDACC,BOP1,BOP1,NA,c
BRAF,MDACC,bRAF,BRAF,NA,c
bRAF_mouse,MDACC,bRAF,BRAF,NA,c
BRAF_PS445,MDACC,BRafpS445,BRAF,S445,a
bRAF_pS445,MDACC,BRafpS445,BRAF,S445,a
BRCA1,MDACC,BRCA1,BRCA1,NA,c
BRCA1_RS00273571,MDACC,BRCA1,BRCA1,NA,c
BRCA2,MDACC,BRCA2,BRCA2,NA,c
BRCA2_RS00275700,MDACC,BRCA2,BRCA2,NA,c
BRCA2.R.C_GBL1033740,MDACC,BRCA2,BRCA2,NA,c
BRCA2.R.C_GBL1113231,MDACC,BRCA2,BRCA2,NA,c
BRCA2(C )_GBL9008400,MDACC,BRCA2,BRCA2,NA,c
BRD4,MDACC,BRD4,BRD4,NA,c
BMF,MDACC,BMF,BMF,NA,c
BMK1.ERK5_PT218_Y220,MDACC,BMK1.ERK5_pT218_Y220,MAPK7,T218|Y220,a
BMX,MDACC,BMX,BMX,NA,c
BNIP3L,MDACC,BNIP3L,BNIP3L,NA,c
CA9,MDACC,CA9,CA9,NA,c
CASEIN_KINASE,MDACC,CSNK1,NA,NA,c
CASEIN_KINASE1_EPSILLON,MDACC,CSNK1E,CSNK1E,NA,c
CABL,MDACC,cAbl,ABL1,NA,c
c.Abl,MDACC,cAbl,ABL1,NA,c
c.Abl.R.V_GBL1115011,MDACC,cAbl,ABL1,NA,c
CALRETININ,MDACC,CALRETININ,CALB2,NA,c
CABL_PY412,MDACC,cAbl_pY412,ABL1,Y412,a
CABL_PY245,MDACC,cAbl_pY245,ABL1,Y245,a
c.Jun (phospho.Ser73),MSKCC,cJun_pS73,JUN,S73,a
c.Jun_pS73,MDACC,cJUNpS73,JUN,S73,a
c.Jun_pS73,MDACC,cJUNpS73,JUN,S73,a
CJUN_PS73,MDACC,cJUNpS73,JUN,S73,a
